"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","1,975.44","1,887.67","2,067.71","1,887.67","","5.80%"
"03/01/2024","1,867.09","1,597.47","1,867.09","1,597.47","","19.78%"
"02/01/2024","1,558.81","1,687.67","1,723.68","1,518.32","","-7.64%"
"01/01/2024","1,687.67","1,875.30","1,875.30","1,637.21","","-11.58%"
"12/01/2023","1,908.73","1,898.11","1,958.20","1,733.25","","2.10%"
"11/01/2023","1,869.52","1,673.84","1,869.52","1,596.10","","10.91%"
"10/01/2023","1,685.67","1,525.52","1,772.72","1,512.48","","6.65%"
"09/01/2023","1,580.50","1,714.49","1,760.11","1,575.46","","-8.37%"
"08/01/2023","1,724.81","1,871.53","1,871.53","1,622.07","","-6.41%"
"07/01/2023","1,842.95","1,830.50","1,962.74","1,767.56","","1.66%"
"06/01/2023","1,812.93","1,902.36","1,906.43","1,776.07","","-1.58%"
"05/01/2023","1,842.05","2,019.64","2,163.38","1,819.78","","-9.20%"
"04/01/2023","2,028.66","1,963.51","2,141.13","1,963.51","","4.57%"
"03/01/2023","1,940.05","1,674.68","1,941.54","1,599.11","","18.12%"
"02/01/2023","1,642.39","1,984.00","1,984.00","1,620.27","","-15.79%"
"01/01/2023","1,950.44","1,809.71","2,015.77","1,809.71","","11.75%"
"12/01/2022","1,745.29","1,770.66","1,780.54","1,689.47","","2.97%"
"11/01/2022","1,695.02","1,463.93","1,704.71","1,336.39","","16.91%"
"10/01/2022","1,449.83","1,490.70","1,538.14","1,371.87","","-0.15%"
"09/01/2022","1,451.96","1,390.88","1,521.58","1,326.79","","0.86%"
"08/01/2022","1,439.61","1,562.09","1,627.17","1,439.61","","-7.87%"
"07/01/2022","1,562.57","1,713.71","1,764.24","1,475.32","","-8.87%"
"06/01/2022","1,714.73","2,002.76","2,065.42","1,714.73","","-14.98%"
"05/01/2022","2,016.95","2,190.89","2,228.63","1,939.82","","-9.49%"
"04/01/2022","2,228.35","2,476.04","2,549.07","2,181.48","","-8.06%"
"03/01/2022","2,423.82","2,241.51","2,448.65","2,235.27","","11.63%"
"02/01/2022","2,171.33","1,956.13","2,229.74","1,945.13","","12.46%"
"01/01/2022","1,930.84","2,038.92","2,106.92","1,883.14","","-6.49%"
"12/01/2021","2,064.81","1,966.52","2,064.81","1,865.45","","3.63%"
"11/01/2021","1,992.55","1,975.98","2,183.16","1,960.55","","1.06%"
"10/01/2021","1,971.56","1,847.75","2,098.52","1,847.75","","6.07%"
"09/01/2021","1,858.65","2,037.05","2,081.41","1,825.48","","-8.83%"
"08/01/2021","2,038.60","2,190.38","2,192.25","1,949.12","","-6.97%"
"07/01/2021","2,191.42","2,135.08","2,210.18","2,086.76","","2.94%"
"06/01/2021","2,128.88","2,540.96","2,540.96","2,116.37","","-15.63%"
"05/01/2021","2,523.16","2,275.82","2,566.35","2,263.15","","14.77%"
"04/01/2021","2,198.41","2,155.84","2,364.17","2,155.84","","5.45%"
"03/01/2021","2,084.81","2,001.09","2,180.71","2,001.09","","3.99%"
"02/01/2021","2,004.76","2,314.56","2,314.56","2,004.76","","-12.25%"
"01/01/2021","2,284.61","2,529.86","2,534.64","2,253.55","","-3.42%"
"12/01/2020","2,365.60","2,354.79","2,427.74","2,263.47","","4.25%"
"11/01/2020","2,269.07","2,565.46","2,759.94","2,210.35","","-9.25%"
"10/01/2020","2,500.41","2,636.87","2,732.68","2,451.02","","-4.53%"
"09/01/2020","2,619.00","2,793.78","2,871.49","2,530.61","","-6.94%"
"08/01/2020","2,814.22","2,846.72","2,978.93","2,644.23","","-1.53%"
"07/01/2020","2,858.09","2,462.13","2,909.54","2,439.04","","16.99%"
"06/01/2020","2,442.95","2,345.96","2,442.95","2,168.01","","7.32%"
"05/01/2020","2,276.28","2,250.34","2,508.70","2,226.17","","1.79%"
"04/01/2020","2,236.35","1,639.90","2,331.17","1,639.90","","39.43%"
"03/01/2020","1,603.89","1,822.51","1,997.65","1,430.73","","-9.38%"
"02/01/2020","1,769.83","1,895.63","2,070.93","1,769.83","","-7.22%"
"01/01/2020","1,907.54","1,905.01","1,920.03","1,839.00","","-0.64%"
"12/01/2019","1,919.88","1,752.20","1,919.88","1,747.99","","10.01%"
"11/01/2019","1,745.17","1,828.39","1,828.39","1,698.24","","-5.08%"
"10/01/2019","1,838.55","1,764.54","1,845.95","1,736.99","","3.99%"
"09/01/2019","1,768.00","1,952.74","2,005.54","1,768.00","","-9.70%"
"08/01/2019","1,957.81","1,786.16","1,996.91","1,786.16","","11.40%"
"07/01/2019","1,757.46","1,666.18","1,841.07","1,666.18","","3.74%"
"06/01/2019","1,694.07","1,453.79","1,694.85","1,453.79","","21.30%"
"05/01/2019","1,396.58","1,329.73","1,396.58","1,308.14","","4.15%"
"04/01/2019","1,340.91","1,424.03","1,471.62","1,340.91","","-7.37%"
"03/01/2019","1,447.52","1,411.84","1,504.88","1,385.41","","1.16%"
"02/01/2019","1,430.92","1,459.52","1,521.36","1,422.24","","-2.34%"
"01/01/2019","1,465.25","1,353.69","1,465.25","1,322.15","","7.77%"
"12/01/2018","1,359.57","1,254.61","1,359.57","1,254.61","","10.16%"
"11/01/2018","1,234.17","1,256.04","1,289.65","1,189.23","","1.61%"
"10/01/2018","1,214.59","1,175.15","1,294.84","1,168.22","","3.50%"
"09/01/2018","1,173.51","1,178.68","1,203.95","1,114.19","","-0.33%"
"08/01/2018","1,177.41","1,348.29","1,348.29","1,166.27","","-13.23%"
"07/01/2018","1,356.96","1,416.92","1,457.20","1,355.64","","-5.03%"
"06/01/2018","1,428.90","1,429.90","1,452.51","1,398.74","","-0.40%"
"05/01/2018","1,434.66","1,435.85","1,476.39","1,414.84","","-0.64%"
"04/01/2018","1,443.84","1,443.57","1,502.30","1,423.76","","0.85%"
"03/01/2018","1,431.73","1,393.73","1,463.04","1,387.33","","2.62%"
"02/01/2018","1,395.20","1,569.53","1,569.53","1,395.20","","-11.50%"
"01/01/2018","1,576.49","1,566.52","1,630.93","1,531.82","","2.84%"
"12/01/2017","1,532.90","1,460.92","1,532.90","1,389.13","","4.86%"
"11/01/2017","1,461.86","1,454.26","1,495.57","1,444.63","","0.42%"
"10/01/2017","1,455.75","1,513.71","1,555.19","1,449.97","","-3.67%"
"09/01/2017","1,511.27","1,633.04","1,675.00","1,511.27","","-6.66%"
"08/01/2017","1,619.03","1,515.40","1,619.03","1,470.30","","7.50%"
"07/01/2017","1,506.02","1,437.17","1,506.57","1,389.33","","3.91%"
"06/01/2017","1,449.33","1,505.03","1,577.38","1,446.43","","-3.71%"
"05/01/2017","1,505.13","1,469.73","1,551.08","1,424.86","","0.81%"
"04/01/2017","1,493.07","1,551.19","1,658.94","1,470.28","","-1.95%"
"03/01/2017","1,522.84","1,535.44","1,580.57","1,425.11","","-1.25%"
"02/01/2017","1,542.06","1,575.73","1,697.77","1,542.06","","-2.12%"
"01/01/2017","1,575.40","1,404.92","1,591.32","1,404.92","","12.14%"
"12/01/2016","1,404.87","1,344.47","1,417.42","1,246.85","","3.40%"
"11/01/2016","1,358.66","1,660.28","1,670.99","1,337.32","","-15.83%"
"10/01/2016","1,614.11","1,705.20","1,705.20","1,491.02","","-7.08%"
"09/01/2016","1,737.16","1,711.93","1,844.04","1,675.54","","4.10%"
"08/01/2016","1,668.74","2,021.72","2,076.11","1,668.74","","-17.30%"
"07/01/2016","2,017.91","1,895.41","2,047.74","1,853.72","","8.94%"
"06/01/2016","1,852.36","1,518.25","1,852.36","1,518.25","","22.72%"
"05/01/2016","1,509.44","1,692.46","1,707.69","1,485.60","","-11.51%"
"04/01/2016","1,705.83","1,331.56","1,705.83","1,321.73","","26.97%"
"03/01/2016","1,343.47","1,259.88","1,395.31","1,259.88","","4.91%"
"02/01/2016","1,280.60","979.33","1,287.04","964.11","","34.36%"
"01/01/2016","953.14","903.47","956.20","833.36","","8.27%"
"12/01/2015","880.32","886.38","931.87","849.58","","1.59%"
"11/01/2015","866.55","941.23","941.23","835.25","","-8.03%"
"10/01/2015","942.19","845.09","1,052.02","845.09","","10.48%"
"09/01/2015","852.80","856.28","899.12","814.32","","-1.75%"
"08/01/2015","868.00","843.51","969.97","819.97","","1.01%"
"07/01/2015","859.35","1,086.84","1,102.61","840.22","","-21.84%"
"06/01/2015","1,099.42","1,205.25","1,216.53","1,099.42","","-8.95%"
"05/01/2015","1,207.52","1,255.18","1,293.75","1,191.04","","-3.45%"
"04/01/2015","1,250.70","1,171.55","1,298.56","1,170.59","","11.10%"
"03/01/2015","1,125.74","1,290.72","1,290.72","1,097.80","","-14.49%"
"02/01/2015","1,316.56","1,366.97","1,377.50","1,263.32","","-2.45%"
"01/01/2015","1,349.63","1,138.02","1,385.98","1,138.02","","20.48%"
"12/01/2014","1,120.22","1,160.82","1,177.43","1,039.96","","0.55%"
"11/01/2014","1,114.12","1,072.32","1,215.77","1,009.96","","4.83%"
"10/01/2014","1,062.76","1,307.16","1,324.42","1,062.76","","-19.27%"
"09/01/2014","1,316.48","1,626.97","1,626.97","1,316.48","","-19.18%"
"08/01/2014","1,628.83","1,589.63","1,657.58","1,565.31","","3.49%"
"07/01/2014","1,573.84","1,603.05","1,649.10","1,573.84","","-1.23%"
"06/01/2014","1,593.50","1,385.25","1,593.85","1,384.47","","14.20%"
"05/01/2014","1,395.31","1,480.62","1,508.10","1,374.66","","-6.74%"
"04/01/2014","1,496.18","1,470.03","1,543.75","1,470.03","","1.74%"
"03/01/2014","1,470.62","1,626.92","1,700.25","1,468.46","","-7.96%"
"02/01/2014","1,597.86","1,456.87","1,648.39","1,439.19","","9.92%"
"01/01/2014","1,453.70","1,377.18","1,491.42","1,329.08","","10.04%"
"12/01/2013","1,321.02","1,305.06","1,339.41","1,267.77","","-3.20%"
"11/01/2013","1,364.70","1,485.03","1,533.86","1,342.23","","-12.37%"
"10/01/2013","1,557.42","1,504.29","1,633.73","1,422.53","","0.47%"
"09/01/2013","1,550.11","1,701.86","1,722.70","1,543.90","","-8.98%"
"08/01/2013","1,703.05","1,565.87","1,813.26","1,436.74","","7.46%"
"07/01/2013","1,584.79","1,461.65","1,679.18","1,365.56","","9.59%"
"06/01/2013","1,446.06","1,844.82","1,844.82","1,339.59","","-20.69%"
"05/01/2013","1,823.35","1,816.71","1,892.82","1,642.89","","-1.78%"
"04/01/2013","1,856.40","2,324.75","2,324.75","1,730.96","","-20.85%"
"03/01/2013","2,345.46","2,332.38","2,384.74","2,271.13","","-0.98%"
"02/01/2013","2,368.70","2,623.84","2,645.15","2,364.00","","-8.60%"
"01/01/2013","2,591.44","2,892.24","2,892.24","2,591.44","","-8.14%"
"12/01/2012","2,820.98","2,851.80","2,866.23","2,737.15","","-3.35%"
"11/01/2012","2,918.76","3,160.13","3,160.13","2,830.82","","-9.09%"
"10/01/2012","3,210.76","3,330.73","3,330.73","3,078.92","","-3.02%"
"09/01/2012","3,310.67","2,942.32","3,382.83","2,922.16","","12.92%"
"08/01/2012","2,931.99","2,670.31","2,977.81","2,643.26","","8.60%"
"07/01/2012","2,699.91","2,792.87","2,893.38","2,530.14","","-3.00%"
"06/01/2012","2,783.33","2,903.20","2,993.29","2,689.75","","0.54%"
"05/01/2012","2,768.28","2,934.91","2,934.91","2,526.64","","-5.29%"
"04/01/2012","2,922.76","3,205.79","3,205.79","2,871.81","","-7.18%"
"03/01/2012","3,148.80","3,576.87","3,576.87","3,126.69","","-12.31%"
"02/01/2012","3,590.77","3,641.87","3,705.49","3,501.54","","-1.28%"
"01/01/2012","3,637.37","3,475.34","3,672.45","3,376.75","","9.04%"
"12/01/2011","3,335.75","3,889.85","3,889.85","3,274.88","","-14.43%"
"11/01/2011","3,898.45","3,734.09","4,003.85","3,546.62","","3.43%"
"10/01/2011","3,769.11","3,507.88","3,874.32","3,363.33","","5.76%"
"09/01/2011","3,563.95","4,046.62","4,243.14","3,527.11","","-11.65%"
"08/01/2011","4,034.03","3,700.42","4,073.31","3,594.30","","8.71%"
"07/01/2011","3,710.94","3,553.23","3,914.62","3,553.23","","4.15%"
"06/01/2011","3,563.02","3,719.37","3,719.37","3,406.77","","-5.14%"
"05/01/2011","3,756.05","3,923.06","3,923.06","3,535.10","","-5.99%"
"04/01/2011","3,995.38","3,803.04","4,051.99","3,801.88","","4.73%"
"03/01/2011","3,814.85","3,853.10","3,859.95","3,518.51","","0.43%"
"02/01/2011","3,798.59","3,575.75","3,811.93","3,567.02","","8.46%"
"01/01/2011","3,502.26","3,966.27","3,966.27","3,479.05","","-11.68%"
"12/01/2010","3,965.32","3,837.79","4,061.99","3,837.79","","4.66%"
"11/01/2010","3,788.82","3,763.24","3,993.27","3,740.95","","0.90%"
"10/01/2010","3,755.00","3,716.46","3,875.06","3,581.30","","1.74%"
"09/01/2010","3,690.79","3,486.37","3,723.62","3,486.37","","4.96%"
"08/01/2010","3,516.51","3,190.38","3,516.51","3,189.47","","11.04%"
"07/01/2010","3,166.88","3,358.72","3,358.72","3,120.50","","-7.24%"
"06/01/2010","3,413.88","3,280.37","3,509.36","3,209.67","","4.87%"
"05/01/2010","3,255.28","3,258.06","3,489.94","3,066.78","","-2.25%"
"04/01/2010","3,330.37","3,089.42","3,330.37","3,087.42","","12.40%"
"03/01/2010","2,962.95","2,956.10","3,097.51","2,882.65","","1.91%"
"02/01/2010","2,907.32","2,809.24","2,999.92","2,683.13","","6.79%"
"01/01/2010","2,722.47","3,166.83","3,317.11","2,722.47","","-11.41%"
"12/01/2009","3,073.10","3,558.50","3,654.02","2,990.73","","-8.54%"
"11/01/2009","3,360.22","2,894.70","3,478.76","2,894.70","","17.41%"
"10/01/2009","2,861.97","2,925.78","3,295.94","2,849.24","","-4.45%"
"09/01/2009","2,995.17","2,650.17","3,185.13","2,650.17","","12.52%"
"08/01/2009","2,661.95","2,764.59","2,810.93","2,527.34","","-1.22%"
"07/01/2009","2,694.87","2,645.12","2,742.77","2,430.71","","3.60%"
"06/01/2009","2,601.32","2,921.15","2,971.78","2,474.56","","-11.59%"
"05/01/2009","2,942.27","2,240.76","2,942.27","2,240.76","","30.36%"
"04/01/2009","2,257.02","2,609.77","2,609.77","2,141.32","","-10.67%"
"03/01/2009","2,526.66","2,157.57","2,609.97","2,067.33","","11.89%"
"02/01/2009","2,258.21","2,305.08","2,550.17","2,257.86","","-3.60%"
"01/01/2009","2,342.50","2,383.09","2,383.09","2,024.50","","-1.19%"
"12/01/2008","2,370.63","1,740.97","2,376.26","1,681.05","","21.59%"
"11/01/2008","1,949.68","1,488.49","1,949.68","1,340.04","","30.85%"
"10/01/2008","1,490.01","2,335.05","2,335.05","1,156.45","","-35.53%"
"09/01/2008","2,311.28","2,366.27","2,470.87","1,831.03","","-4.36%"
"08/01/2008","2,416.55","2,716.62","2,716.62","2,203.66","","-14.01%"
"07/01/2008","2,810.20","3,151.01","3,322.81","2,810.20","","-10.99%"
"06/01/2008","3,157.08","2,965.41","3,157.08","2,743.04","","7.34%"
"05/01/2008","2,941.23","2,704.45","3,150.32","2,704.45","","6.99%"
"04/01/2008","2,749.15","2,904.09","3,215.69","2,692.06","","-8.86%"
"03/01/2008","3,016.42","3,519.89","3,553.88","2,902.55","","-12.43%"
"02/01/2008","3,444.61","3,236.15","3,484.99","3,072.10","","5.96%"
"01/01/2008","3,250.98","3,119.50","3,492.85","3,002.58","","9.88%"
"12/01/2007","2,958.75","2,962.70","2,976.55","2,677.46","","-0.04%"
"11/01/2007","2,959.91","3,086.50","3,289.25","2,855.68","","-5.94%"
"10/01/2007","3,146.72","2,862.85","3,146.72","2,768.10","","11.42%"
"09/01/2007","2,824.20","2,298.26","2,850.79","2,298.26","","24.08%"
"08/01/2007","2,276.17","2,333.16","2,384.20","2,087.24","","-4.67%"
"07/01/2007","2,387.70","2,241.43","2,541.55","2,241.43","","8.07%"
"06/01/2007","2,209.36","2,291.48","2,301.13","2,174.52","","-1.77%"
"05/01/2007","2,249.21","2,292.48","2,380.14","2,188.43","","-2.67%"
"04/01/2007","2,310.95","2,324.54","2,480.97","2,310.95","","0.22%"
"03/01/2007","2,305.82","2,318.30","2,341.00","2,186.18","","-2.02%"
"02/01/2007","2,353.43","2,387.01","2,501.35","2,353.43","","0.06%"
"01/01/2007","2,351.99","2,486.09","2,486.09","2,230.42","","-3.78%"
"12/01/2006","2,444.27","2,524.33","2,542.26","2,366.59","","-3.51%"
"11/01/2006","2,533.29","2,351.04","2,533.29","2,261.07","","8.79%"
"10/01/2006","2,328.51","2,230.30","2,328.51","2,100.34","","5.20%"
"09/01/2006","2,213.32","2,164.27","2,233.78","2,141.88","","-9.93%"
"08/01/2006","2,457.22","2,457.22","2,457.22","2,457.22","","2.49%"
"07/01/2006","2,397.58","2,397.58","2,397.58","2,397.58","","-2.10%"
"06/01/2006","2,449.11","2,449.11","2,449.11","2,449.11","","0.78%"
"05/01/2006","2,430.25","2,430.25","2,430.25","2,430.25","","-8.19%"
"04/01/2006","2,646.97","2,646.97","2,646.97","2,646.97","","12.69%"
"03/01/2006","2,348.81","2,348.81","2,348.81","2,348.81","","4.81%"
"02/01/2006","2,241.03","2,241.03","2,241.03","2,241.03","","-12.75%"
"01/01/2006","2,568.45","2,568.45","2,568.45","2,568.45","","18.31%"
"12/01/2005","2,170.94","2,170.94","2,170.94","2,170.94","","10.92%"
"11/01/2005","1,957.21","1,957.21","1,957.21","1,957.21","","9.03%"
"10/01/2005","1,795.03","1,795.03","1,795.03","1,795.03","","-7.71%"
"09/01/2005","1,944.97","1,944.97","1,944.97","1,944.97","","20.46%"
"08/01/2005","1,614.57","1,614.57","1,614.57","1,614.57","","4.71%"
"07/01/2005","1,541.99","1,541.99","1,541.99","1,541.99","","-3.37%"
"06/01/2005","1,595.82","1,595.82","1,595.82","1,595.82","","10.23%"
"05/01/2005","1,447.75","1,447.75","1,447.75","1,447.75","","1.08%"
"04/01/2005","1,432.23","1,432.23","1,432.23","1,432.23","","-10.45%"
"03/01/2005","1,599.29","1,599.29","1,599.29","1,599.29","","-4.81%"
"02/01/2005","1,680.10","1,680.10","1,680.10","1,680.10","","6.80%"
"01/01/2005","1,573.17","1,573.17","1,573.17","1,573.17","","-7.37%"
"12/01/2004","1,698.32","1,698.32","1,698.32","1,698.32","","-7.17%"
"11/01/2004","1,829.41","1,829.41","1,829.41","1,829.41","","3.13%"
"10/01/2004","1,773.94","1,773.94","1,773.94","1,773.94","","3.84%"
"09/01/2004","1,708.40","1,708.40","1,708.40","1,708.40","","7.33%"
"08/01/2004","1,591.69","1,591.69","1,591.69","1,591.69","","8.77%"
"07/01/2004","1,463.34","1,463.34","1,463.34","1,463.34","","0.30%"
"06/01/2004","1,458.93","1,458.93","1,458.93","1,458.93","","-4.05%"
"05/01/2004","1,520.51","1,520.51","1,520.51","1,520.51","","10.20%"